Protein,Model,HR_95CI,P,FDR,HR,lower,upper
DOC2B,Model 2,"1.06(0.92,1.23)",0.412373204,0.51152496,1.06,0.92,1.23
DOCK9,Model 2,"1.00(0.96,1.05)",0.913653781,0.940052516,1,0.96,1.05
DOK1,Model 2,"1.00(0.96,1.04)",0.85787102,0.899132584,1,0.96,1.04
DOK2,Model 2,"1.05(1.01,1.09)",0.009385851,0.019520432,1.05,1.01,1.09
DPEP1,Model 2,"0.95(0.86,1.04)",0.268281398,0.362508877,0.95,0.86,1.04
DPEP2,Model 2,"1.54(1.32,1.80)",4.47E-08,2.05E-07,1.54,1.32,1.8
DPP10,Model 2,"1.13(0.99,1.29)",0.060998534,0.101896864,1.13,0.99,1.29
DPP4,Model 2,"0.58(0.49,0.69)",1.10E-10,6.47E-10,0.58,0.49,0.69
DPP6,Model 2,"0.79(0.69,0.91)",0.000727842,0.001897589,0.79,0.69,0.91
DPP7,Model 2,"1.21(1.12,1.31)",6.42E-07,2.57E-06,1.21,1.12,1.31
DPT,Model 2,"1.59(1.32,1.91)",1.00E-06,3.95E-06,1.59,1.32,1.91
DPY30,Model 2,"1.49(1.40,1.59)",5.52E-35,1.17E-33,1.49,1.4,1.59
DRAXIN,Model 2,"1.42(1.28,1.58)",1.59E-10,9.16E-10,1.42,1.28,1.58
DRG2,Model 2,"1.14(1.05,1.24)",0.001674842,0.004113154,1.14,1.05,1.24
DSC2,Model 2,"2.46(2.20,2.75)",2.85E-56,1.51E-54,2.46,2.2,2.75
DSCAM,Model 2,"1.40(1.20,1.63)",1.52E-05,5.12E-05,1.4,1.2,1.63
DSG2,Model 2,"1.12(0.94,1.33)",0.19855922,0.280771392,1.12,0.94,1.33
DSG3,Model 2,"1.10(0.96,1.26)",0.176370133,0.254195848,1.1,0.96,1.26
DSG4,Model 2,"0.88(0.80,0.97)",0.008902179,0.018647318,0.88,0.8,0.97
DTD1,Model 2,"1.01(0.95,1.08)",0.736141625,0.807184959,1.01,0.95,1.08
DTNB,Model 2,"1.54(1.38,1.72)",2.16E-14,1.64E-13,1.54,1.38,1.72
DTX2,Model 2,"0.96(0.87,1.05)",0.370808168,0.469540264,0.96,0.87,1.05
DTX3,Model 2,"2.95(2.53,3.44)",2.37E-43,7.06E-42,2.95,2.53,3.44
DTYMK,Model 2,"1.16(1.07,1.25)",0.000258382,0.000717865,1.16,1.07,1.25
DUOX2,Model 2,"0.95(0.89,1.02)",0.187308571,0.267061049,0.95,0.89,1.02
DUSP13,Model 2,"0.91(0.80,1.05)",0.186661575,0.266268588,0.91,0.8,1.05
DUSP29,Model 2,"0.97(0.89,1.05)",0.452942341,0.554081121,0.97,0.89,1.05
DUSP3,Model 2,"0.97(0.91,1.03)",0.273763906,0.367535911,0.97,0.91,1.03
DUT,Model 2,"1.11(1.05,1.17)",0.00010799,0.000322753,1.11,1.05,1.17
DXO,Model 2,"1.51(1.35,1.69)",1.76E-12,1.17E-11,1.51,1.35,1.69
DYNC1H1,Model 2,"1.13(1.02,1.26)",0.021048021,0.040170079,1.13,1.02,1.26
DYNLT1,Model 2,"1.08(1.01,1.16)",0.021975455,0.041721931,1.08,1.01,1.16
DYNLT3,Model 2,"1.08(0.95,1.22)",0.247592992,0.339263978,1.08,0.95,1.22
EBAG9,Model 2,"1.10(1.05,1.16)",0.000117102,0.000347851,1.1,1.05,1.16
EBI3_IL27,Model 2,"2.22(1.93,2.55)",1.25E-28,2.03E-27,2.22,1.93,2.55
ECE1,Model 2,"1.07(0.94,1.23)",0.305107328,0.401131651,1.07,0.94,1.23
ECHDC3,Model 2,"1.08(1.01,1.16)",0.028010821,0.051636109,1.08,1.01,1.16
ECHS1,Model 2,"1.14(1.08,1.21)",5.27E-06,1.87E-05,1.14,1.08,1.21
ECI2,Model 2,"1.27(1.17,1.38)",1.05E-08,5.19E-08,1.27,1.17,1.38
ECM1,Model 2,"0.82(0.71,0.95)",0.007364663,0.015742911,0.82,0.71,0.95
ECSCR,Model 2,"0.99(0.89,1.11)",0.861575538,0.90206836,0.99,0.89,1.11
EDA2R,Model 2,"2.23(2.00,2.49)",6.89E-46,2.34E-44,2.23,2,2.49
EDAR,Model 2,"0.83(0.79,0.88)",5.68E-12,3.64E-11,0.83,0.79,0.88
EDDM3B,Model 2,"0.81(0.72,0.90)",0.000157301,0.000453872,0.81,0.72,0.9
EDEM2,Model 2,"0.97(0.83,1.13)",0.661258335,0.7446488,0.97,0.83,1.13
EDF1,Model 2,"1.15(1.07,1.23)",8.57E-05,0.000259867,1.15,1.07,1.23
EDIL3,Model 2,"1.11(0.98,1.27)",0.11310502,0.175022076,1.11,0.98,1.27
EDN1,Model 2,"1.96(1.63,2.35)",6.62E-13,4.63E-12,1.96,1.63,2.35
EDNRB,Model 2,"1.10(0.98,1.24)",0.105269462,0.165796564,1.1,0.98,1.24
EEF1D,Model 2,"1.09(1.03,1.15)",0.003696212,0.008445179,1.09,1.03,1.15
EFCAB14,Model 2,"1.79(1.59,2.02)",4.04E-21,4.55E-20,1.79,1.59,2.02
EFCAB2,Model 2,"1.15(0.99,1.35)",0.068811032,0.113658322,1.15,0.99,1.35
EFEMP1,Model 2,"1.54(1.33,1.78)",5.76E-09,2.93E-08,1.54,1.33,1.78
EFHD1,Model 2,"1.36(1.18,1.56)",1.43E-05,4.85E-05,1.36,1.18,1.56
EFNA1,Model 2,"2.57(2.22,2.97)",4.00E-37,9.35E-36,2.57,2.22,2.97
EFNA4,Model 2,"3.65(3.27,4.07)",1.17E-120,2.43E-118,3.65,3.27,4.07
EFNB2,Model 2,"1.08(0.98,1.18)",0.118430018,0.182008238,1.08,0.98,1.18
EGF,Model 2,"0.99(0.95,1.04)",0.658382476,0.741696308,0.99,0.95,1.04
EGFL7,Model 2,"1.54(1.38,1.71)",6.72E-15,5.30E-14,1.54,1.38,1.71
EGFLAM,Model 2,"1.26(1.06,1.50)",0.008351181,0.017632283,1.26,1.06,1.5
EGFR,Model 2,"0.39(0.30,0.52)",8.15E-11,4.86E-10,0.39,0.3,0.52
EGLN1,Model 2,"1.38(1.31,1.46)",4.05E-30,7.17E-29,1.38,1.31,1.46
EHBP1,Model 2,"1.04(0.96,1.11)",0.347202534,0.444273181,1.04,0.96,1.11
EHD3,Model 2,"0.98(0.94,1.03)",0.472327289,0.572280367,0.98,0.94,1.03
EIF1AX,Model 2,"1.10(1.01,1.21)",0.035424115,0.063226416,1.1,1.01,1.21
EIF2AK2,Model 2,"1.05(1.00,1.11)",0.043115483,0.075072875,1.05,1,1.11
EIF2AK3,Model 2,"1.04(0.96,1.13)",0.378818986,0.477406749,1.04,0.96,1.13
EIF2S2,Model 2,"1.24(1.10,1.39)",0.000591597,0.001561901,1.24,1.1,1.39
EIF4B,Model 2,"1.15(1.06,1.25)",0.000899457,0.002303873,1.15,1.06,1.25
EIF4E,Model 2,"1.09(1.02,1.16)",0.006634503,0.014360821,1.09,1.02,1.16
EIF4EBP1,Model 2,"1.32(1.23,1.41)",1.95E-16,1.66E-15,1.32,1.23,1.41
EIF4G1,Model 2,"1.11(1.05,1.16)",2.83E-05,9.26E-05,1.11,1.05,1.16
EIF4G3,Model 2,"0.98(0.90,1.06)",0.590365126,0.682989766,0.98,0.9,1.06
EIF5,Model 2,"1.17(1.04,1.31)",0.010879474,0.022340411,1.17,1.04,1.31
EIF5A,Model 2,"1.07(0.91,1.25)",0.416130823,0.515634134,1.07,0.91,1.25
ELAC1,Model 2,"1.08(1.01,1.15)",0.025505689,0.047437332,1.08,1.01,1.15
ELAVL4,Model 2,"0.99(0.93,1.06)",0.832128494,0.879093778,0.99,0.93,1.06
ELN,Model 2,"1.51(1.30,1.77)",1.34E-07,5.85E-07,1.51,1.3,1.77
ELOA,Model 2,"1.46(1.38,1.54)",6.14E-41,1.69E-39,1.46,1.38,1.54
ELOB,Model 2,"1.22(1.08,1.38)",0.001770525,0.004315471,1.22,1.08,1.38
ENAH,Model 2,"1.35(1.23,1.48)",2.27E-10,1.28E-09,1.35,1.23,1.48
ENDOU,Model 2,"0.87(0.78,0.98)",0.017079092,0.03340318,0.87,0.78,0.98
ENG,Model 2,"2.30(1.77,2.99)",4.15E-10,2.29E-09,2.3,1.77,2.99
ENO1,Model 2,"1.09(1.02,1.15)",0.00665678,0.014398368,1.09,1.02,1.15
ENO2,Model 2,"1.05(0.97,1.12)",0.218016509,0.30401538,1.05,0.97,1.12
ENO3,Model 2,"0.83(0.75,0.91)",0.000190568,0.000540251,0.83,0.75,0.91
ENOPH1,Model 2,"0.99(0.89,1.09)",0.795076567,0.850723186,0.99,0.89,1.09
ENOX2,Model 2,"1.66(1.40,1.96)",6.30E-09,3.18E-08,1.66,1.4,1.96
ENPEP,Model 2,"1.01(0.89,1.14)",0.898997346,0.930876685,1.01,0.89,1.14
ENPP2,Model 2,"1.44(1.21,1.70)",2.99E-05,9.70E-05,1.44,1.21,1.7
ENPP5,Model 2,"0.84(0.76,0.92)",0.000234801,0.000657354,0.84,0.76,0.92
ENPP6,Model 2,"0.72(0.62,0.83)",1.66E-05,5.56E-05,0.72,0.62,0.83
ENPP7,Model 2,"1.10(1.04,1.16)",0.000824107,0.002131437,1.1,1.04,1.16
ENSA,Model 2,"1.07(0.97,1.19)",0.172318723,0.248848008,1.07,0.97,1.19
ENTPD2,Model 2,"1.07(0.96,1.20)",0.204850702,0.288828609,1.07,0.96,1.2
ENTPD5,Model 2,"1.01(0.81,1.26)",0.943117863,0.96324035,1.01,0.81,1.26
ENTPD6,Model 2,"1.42(1.18,1.71)",0.000247354,0.000688386,1.42,1.18,1.71
ENTR1,Model 2,"1.15(1.05,1.26)",0.002236228,0.005374308,1.15,1.05,1.26
EP300,Model 2,"1.24(1.04,1.47)",0.014520448,0.028882634,1.24,1.04,1.47
EPB41L5,Model 2,"1.02(0.93,1.11)",0.695803094,0.772233005,1.02,0.93,1.11
EPCAM,Model 2,"1.01(0.96,1.06)",0.754351876,0.82098676,1.01,0.96,1.06
EPGN,Model 2,"1.01(0.90,1.14)",0.81313523,0.864030157,1.01,0.9,1.14
EPHA1,Model 2,"1.47(1.28,1.70)",1.40E-07,6.10E-07,1.47,1.28,1.7
EPHA10,Model 2,"1.06(0.99,1.14)",0.077355291,0.125766954,1.06,0.99,1.14
EPHA2,Model 2,"2.45(2.20,2.73)",5.49E-60,3.27E-58,2.45,2.2,2.73
EPHA4,Model 2,"1.55(1.28,1.89)",8.44E-06,2.91E-05,1.55,1.28,1.89
EPHB4,Model 2,"2.97(2.52,3.50)",2.83E-38,7.05E-37,2.97,2.52,3.5
EPHB6,Model 2,"2.34(2.03,2.70)",8.46E-32,1.61E-30,2.34,2.03,2.7
EPHX2,Model 2,"0.99(0.91,1.07)",0.720717674,0.793251265,0.99,0.91,1.07
EPN1,Model 2,"0.98(0.86,1.12)",0.755290241,0.821173587,0.98,0.86,1.12
EPO,Model 2,"1.38(1.32,1.45)",3.67E-41,1.02E-39,1.38,1.32,1.45
EPPK1,Model 2,"1.15(1.07,1.24)",0.000196729,0.000555022,1.15,1.07,1.24
EPS8L2,Model 2,"1.85(1.61,2.14)",2.30E-17,2.07E-16,1.85,1.61,2.14
ERBB2,Model 2,"0.86(0.71,1.05)",0.136952844,0.206135208,0.86,0.71,1.05
ERBB3,Model 2,"0.88(0.69,1.12)",0.284683228,0.379231308,0.88,0.69,1.12
ERBB4,Model 2,"0.69(0.57,0.83)",0.000132472,0.000388763,0.69,0.57,0.83
ERBIN,Model 2,"1.03(0.98,1.07)",0.271162436,0.365050398,1.03,0.98,1.07
ERC2,Model 2,"1.01(0.94,1.09)",0.750677844,0.817292805,1.01,0.94,1.09
ERCC1,Model 2,"1.09(0.93,1.27)",0.302827123,0.398852142,1.09,0.93,1.27
EREG,Model 2,"1.02(0.96,1.08)",0.550853256,0.646759754,1.02,0.96,1.08
ERI1,Model 2,"1.79(1.57,2.04)",1.96E-18,1.89E-17,1.79,1.57,2.04
ERMAP,Model 2,"1.38(1.22,1.56)",2.49E-07,1.06E-06,1.38,1.22,1.56
ERN1,Model 2,"1.08(0.93,1.24)",0.318396543,0.41542355,1.08,0.93,1.24
ERP29,Model 2,"1.01(0.97,1.06)",0.536317428,0.633257942,1.01,0.97,1.06
ERP44,Model 2,"1.15(0.96,1.38)",0.123703821,0.189238946,1.15,0.96,1.38
ERVV_1,Model 2,"0.95(0.83,1.08)",0.440607206,0.540804137,0.95,0.83,1.08
ESAM,Model 2,"1.86(1.63,2.14)",5.97E-19,6.10E-18,1.86,1.63,2.14
ESM1,Model 2,"1.22(1.07,1.40)",0.003212163,0.007449973,1.22,1.07,1.4
ESPL1,Model 2,"0.99(0.90,1.10)",0.908416695,0.936644332,0.99,0.9,1.1
ESR1,Model 2,"1.07(0.98,1.18)",0.124332283,0.190078674,1.07,0.98,1.18
ESYT2,Model 2,"1.04(0.97,1.11)",0.278248199,0.372528538,1.04,0.97,1.11
EVI2B,Model 2,"1.11(0.98,1.26)",0.11390224,0.175931355,1.11,0.98,1.26
EVI5,Model 2,"1.05(0.98,1.11)",0.157780186,0.231284208,1.05,0.98,1.11
EVPL,Model 2,"0.98(0.83,1.16)",0.831931491,0.879093778,0.98,0.83,1.16
EXOSC10,Model 2,"1.13(1.04,1.23)",0.005897631,0.01288039,1.13,1.04,1.23
EXTL1,Model 2,"0.90(0.80,1.02)",0.108961563,0.170150595,0.9,0.8,1.02
EZR,Model 2,"3.19(2.72,3.75)",1.55E-45,5.20E-44,3.19,2.72,3.75
F10,Model 2,"0.74(0.61,0.90)",0.002910378,0.006832077,0.74,0.61,0.9
F11,Model 2,"0.96(0.81,1.15)",0.681753896,0.761304702,0.96,0.81,1.15
F11R,Model 2,"1.13(1.04,1.22)",0.004380071,0.009853472,1.13,1.04,1.22
F12,Model 2,"0.86(0.76,0.98)",0.024227999,0.045456675,0.86,0.76,0.98
F13B,Model 2,"0.89(0.72,1.10)",0.285694044,0.380057681,0.89,0.72,1.1
F2,Model 2,"0.65(0.45,0.93)",0.019273764,0.03722182,0.65,0.45,0.93
F2R,Model 2,"1.20(1.10,1.30)",1.49E-05,5.03E-05,1.2,1.1,1.3
F3,Model 2,"1.39(1.17,1.65)",0.000178575,0.000508225,1.39,1.17,1.65
F7,Model 2,"0.92(0.79,1.08)",0.310906507,0.407288919,0.92,0.79,1.08
F9,Model 2,"1.02(0.79,1.32)",0.861598855,0.90206836,1.02,0.79,1.32
FABP1,Model 2,"1.19(1.14,1.25)",3.14E-13,2.24E-12,1.19,1.14,1.25
FABP2,Model 2,"1.12(1.06,1.18)",0.000125612,0.000370493,1.12,1.06,1.18
FABP3,Model 2,"1.37(1.25,1.51)",5.87E-11,3.54E-10,1.37,1.25,1.51
FABP4,Model 2,"1.29(1.18,1.40)",1.08E-08,5.34E-08,1.29,1.18,1.4
FABP5,Model 2,"1.21(1.13,1.29)",2.02E-08,9.60E-08,1.21,1.13,1.29
FABP6,Model 2,"1.10(1.02,1.20)",0.019468499,0.037573045,1.1,1.02,1.2
FABP9,Model 2,"0.95(0.88,1.04)",0.273119649,0.367008456,0.95,0.88,1.04
FADD,Model 2,"1.07(1.01,1.14)",0.02747316,0.050741068,1.07,1.01,1.14
FAM13A,Model 2,"1.03(0.95,1.12)",0.479854048,0.579476352,1.03,0.95,1.12
FAM171A2,Model 2,"0.97(0.94,1.01)",0.093440606,0.149586935,0.97,0.94,1.01
FAM171B,Model 2,"1.15(0.95,1.38)",0.147118799,0.218064413,1.15,0.95,1.38
FAM172A,Model 2,"1.02(0.93,1.12)",0.671972186,0.754456855,1.02,0.93,1.12
FAM20A,Model 2,"1.27(1.05,1.53)",0.014062533,0.028067393,1.27,1.05,1.53
FAM3B,Model 2,"1.29(1.13,1.48)",0.000213343,0.000599002,1.29,1.13,1.48
FAM3C,Model 2,"2.17(1.87,2.52)",2.42E-24,3.14E-23,2.17,1.87,2.52
FAM3D,Model 2,"1.11(1.04,1.18)",0.001423685,0.003520034,1.11,1.04,1.18
FAP,Model 2,"0.71(0.60,0.84)",5.22E-05,0.000163227,0.71,0.6,0.84
FARSA,Model 2,"1.09(1.01,1.18)",0.023721739,0.044659883,1.09,1.01,1.18
FAS,Model 2,"1.44(1.30,1.59)",4.65E-13,3.28E-12,1.44,1.3,1.59
FASLG,Model 2,"1.04(0.92,1.18)",0.525898302,0.622718184,1.04,0.92,1.18
FBLN2,Model 2,"1.77(1.49,2.09)",3.06E-11,1.89E-10,1.77,1.49,2.09
FBN2,Model 2,"1.08(0.98,1.18)",0.13128022,0.199134072,1.08,0.98,1.18
FBP1,Model 2,"0.95(0.90,1.02)",0.151593824,0.223901854,0.95,0.9,1.02
FCAMR,Model 2,"1.51(1.41,1.63)",4.09E-30,7.19E-29,1.51,1.41,1.63
FCAR,Model 2,"1.10(1.00,1.21)",0.054004817,0.091363884,1.1,1,1.21
FCER1A,Model 2,"1.36(1.08,1.70)",0.007873375,0.01674567,1.36,1.08,1.7
FCER2,Model 2,"2.13(2.02,2.24)",1.10E-182,6.42E-180,2.13,2.02,2.24
FCGR2A,Model 2,"1.42(1.29,1.56)",8.33E-13,5.73E-12,1.42,1.29,1.56
FCGR2B,Model 2,"1.16(1.07,1.25)",0.000359406,0.000975339,1.16,1.07,1.25
FCGR3B,Model 2,"0.98(0.89,1.08)",0.64339209,0.729140899,0.98,0.89,1.08
FCN1,Model 2,"1.02(0.92,1.12)",0.73798702,0.808534106,1.02,0.92,1.12
FCN2,Model 2,"0.86(0.77,0.96)",0.006107814,0.013319504,0.86,0.77,0.96
FCRL1,Model 2,"2.21(2.03,2.40)",1.38E-75,1.26E-73,2.21,2.03,2.4
FCRL2,Model 2,"2.46(2.32,2.61)",3.73E-202,2.72E-199,2.46,2.32,2.61
FCRL3,Model 2,"1.88(1.74,2.03)",8.76E-56,4.57E-54,1.88,1.74,2.03
FCRL5,Model 2,"1.74(1.61,1.88)",3.06E-44,9.49E-43,1.74,1.61,1.88
FCRL6,Model 2,"1.25(1.16,1.34)",3.24E-10,1.81E-09,1.25,1.16,1.34
FCRLB,Model 2,"1.56(1.49,1.63)",2.19E-84,2.46E-82,1.56,1.49,1.63
FDX1,Model 2,"1.09(1.01,1.19)",0.03388617,0.06081599,1.09,1.01,1.19
FDX2,Model 2,"1.22(1.12,1.32)",6.70E-06,2.35E-05,1.22,1.12,1.32
FEN1,Model 2,"1.19(1.12,1.26)",5.44E-09,2.77E-08,1.19,1.12,1.26
FES,Model 2,"1.12(1.02,1.23)",0.020663994,0.039540539,1.12,1.02,1.23
FETUB,Model 2,"1.24(1.07,1.45)",0.004512534,0.010104754,1.24,1.07,1.45
FGA,Model 2,"1.35(1.13,1.61)",0.00106955,0.00270397,1.35,1.13,1.61
FGD3,Model 2,"1.05(0.98,1.12)",0.18655935,0.266252836,1.05,0.98,1.12
FGF12,Model 2,"1.05(0.94,1.18)",0.373492225,0.472120042,1.05,0.94,1.18
FGF16,Model 2,"0.97(0.86,1.10)",0.613314004,0.702580185,0.97,0.86,1.1
FGF19,Model 2,"1.04(0.98,1.10)",0.236519929,0.326697347,1.04,0.98,1.1
FGF2,Model 2,"1.49(1.40,1.59)",5.67E-36,1.25E-34,1.49,1.4,1.59
FGF20,Model 2,"1.03(0.91,1.16)",0.679647006,0.760261296,1.03,0.91,1.16
FGF21,Model 2,"1.07(1.03,1.11)",0.000505413,0.001349001,1.07,1.03,1.11
FGF23,Model 2,"1.40(1.31,1.49)",4.25E-24,5.37E-23,1.4,1.31,1.49
FGF3,Model 2,"0.88(0.72,1.08)",0.214761912,0.300050136,0.88,0.72,1.08
FGF5,Model 2,"1.12(0.97,1.30)",0.113933627,0.175931355,1.12,0.97,1.3
FGF6,Model 2,"0.94(0.81,1.09)",0.40737387,0.506830721,0.94,0.81,1.09
FGF7,Model 2,"1.01(0.94,1.09)",0.719015969,0.791975341,1.01,0.94,1.09
FGF9,Model 2,"0.93(0.81,1.07)",0.344074123,0.441236907,0.93,0.81,1.07
FGFBP1,Model 2,"0.61(0.53,0.71)",5.18E-12,3.35E-11,0.61,0.53,0.71
FGFBP2,Model 2,"0.73(0.66,0.82)",4.05E-08,1.86E-07,0.73,0.66,0.82
FGFBP3,Model 2,"1.57(1.35,1.81)",2.07E-09,1.09E-08,1.57,1.35,1.81
FGFR2,Model 2,"1.93(1.58,2.37)",1.78E-10,1.02E-09,1.93,1.58,2.37
FGFR4,Model 2,"0.99(0.89,1.10)",0.848457756,0.891461591,0.99,0.89,1.1
FGL1,Model 2,"1.21(1.11,1.32)",8.40E-06,2.90E-05,1.21,1.11,1.32
FGR,Model 2,"1.11(1.03,1.19)",0.004362399,0.009821285,1.11,1.03,1.19
FH,Model 2,"0.99(0.92,1.06)",0.696568953,0.772744997,0.99,0.92,1.06
FHIP2A,Model 2,"1.03(0.92,1.15)",0.631037019,0.718653703,1.03,0.92,1.15
FHIT,Model 2,"0.99(0.93,1.06)",0.83292445,0.879616418,0.99,0.93,1.06
FIS1,Model 2,"1.07(1.01,1.14)",0.027754842,0.051196549,1.07,1.01,1.14
FKBP14,Model 2,"1.07(1.01,1.13)",0.019106342,0.036922911,1.07,1.01,1.13
FKBP1B,Model 2,"1.02(0.98,1.07)",0.26862199,0.362801208,1.02,0.98,1.07
FKBP4,Model 2,"1.58(1.42,1.76)",1.86E-16,1.59E-15,1.58,1.42,1.76
FKBP5,Model 2,"1.08(1.03,1.13)",0.003108116,0.007237399,1.08,1.03,1.13
FKBP7,Model 2,"1.14(1.04,1.25)",0.004908193,0.010898801,1.14,1.04,1.25
FKBPL,Model 2,"1.21(1.10,1.32)",5.79E-05,0.000179572,1.21,1.1,1.32
FLI1,Model 2,"1.04(1.00,1.09)",0.070012624,0.115435834,1.04,1,1.09
FLRT2,Model 2,"1.64(1.40,1.93)",1.67E-09,8.87E-09,1.64,1.4,1.93
FLT1,Model 2,"1.55(1.28,1.88)",6.87E-06,2.41E-05,1.55,1.28,1.88
FLT3,Model 2,"1.13(0.98,1.32)",0.102931552,0.162640764,1.13,0.98,1.32
FLT3LG,Model 2,"1.55(1.35,1.78)",4.14E-10,2.28E-09,1.55,1.35,1.78
FLT4,Model 2,"1.40(1.22,1.61)",3.24E-06,1.19E-05,1.4,1.22,1.61
FMNL1,Model 2,"1.12(1.05,1.19)",0.000619321,0.001630674,1.12,1.05,1.19
FMR1,Model 2,"1.16(1.01,1.33)",0.030887118,0.056088547,1.16,1.01,1.33
FN1,Model 2,"0.71(0.58,0.88)",0.001419257,0.003512059,0.71,0.58,0.88
FNDC1,Model 2,"0.94(0.83,1.05)",0.270862327,0.364982924,0.94,0.83,1.05
FNTA,Model 2,"1.40(1.22,1.60)",1.08E-06,4.22E-06,1.4,1.22,1.6
FOLH1,Model 2,"1.01(0.96,1.07)",0.65078919,0.735411933,1.01,0.96,1.07
FOLR1,Model 2,"2.31(1.99,2.68)",5.11E-28,7.89E-27,2.31,1.99,2.68
FOLR2,Model 2,"2.04(1.75,2.38)",6.63E-20,7.04E-19,2.04,1.75,2.38
FOLR3,Model 2,"1.00(0.98,1.02)",0.988112187,0.992004761,1,0.98,1.02
FOS,Model 2,"1.10(0.94,1.28)",0.250115312,0.341598087,1.1,0.94,1.28
FOSB,Model 2,"1.14(1.02,1.28)",0.018413402,0.035749423,1.14,1.02,1.28
FOXJ3,Model 2,"1.26(1.13,1.41)",4.53E-05,0.000143007,1.26,1.13,1.41
FOXO1,Model 2,"1.16(1.10,1.22)",7.57E-08,3.39E-07,1.16,1.1,1.22
FOXO3,Model 2,"1.09(1.04,1.14)",0.000355479,0.00096558,1.09,1.04,1.14
FRMD4B,Model 2,"0.96(0.88,1.04)",0.279264909,0.373205279,0.96,0.88,1.04
FRMD7,Model 2,"0.96(0.81,1.13)",0.612156622,0.701682493,0.96,0.81,1.13
FRZB,Model 2,"1.84(1.51,2.23)",9.99E-10,5.36E-09,1.84,1.51,2.23
FSHB,Model 2,"1.25(1.14,1.37)",2.21E-06,8.31E-06,1.25,1.14,1.37
FST,Model 2,"1.02(0.93,1.12)",0.679808987,0.760261296,1.02,0.93,1.12
FSTL1,Model 2,"2.99(2.46,3.64)",3.21E-28,5.06E-27,2.99,2.46,3.64
FSTL3,Model 2,"2.11(1.85,2.41)",5.30E-29,8.89E-28,2.11,1.85,2.41
FTCD,Model 2,"1.01(0.94,1.07)",0.82665538,0.87497913,1.01,0.94,1.07
FUCA1,Model 2,"1.04(0.98,1.10)",0.180677174,0.259379227,1.04,0.98,1.1
FUOM,Model 2,"1.13(1.03,1.23)",0.006330292,0.013743087,1.13,1.03,1.23
FURIN,Model 2,"1.01(0.88,1.16)",0.9033147,0.932701176,1.01,0.88,1.16
FUS,Model 2,"1.84(1.67,2.02)",1.08E-35,2.34E-34,1.84,1.67,2.02
FUT1,Model 2,"1.09(1.01,1.19)",0.032927416,0.05927747,1.09,1.01,1.19
FUT3_FUT5,Model 2,"1.44(1.30,1.59)",8.65E-13,5.94E-12,1.44,1.3,1.59
FUT8,Model 2,"1.14(1.05,1.24)",0.001160749,0.002915595,1.14,1.05,1.24
FXN,Model 2,"1.10(1.04,1.18)",0.002359778,0.005634139,1.1,1.04,1.18
FXYD5,Model 2,"1.15(1.07,1.23)",0.000163777,0.000470697,1.15,1.07,1.23
FYB1,Model 2,"1.01(0.96,1.06)",0.732685543,0.804301423,1.01,0.96,1.06
FZD10,Model 2,"0.95(0.86,1.05)",0.339903489,0.437624716,0.95,0.86,1.05
FZD8,Model 2,"1.22(1.09,1.37)",0.000474715,0.001274051,1.22,1.09,1.37
GABARAP,Model 2,"1.17(1.06,1.30)",0.002589585,0.006127705,1.17,1.06,1.3
GABARAPL1,Model 2,"1.01(0.93,1.10)",0.739582599,0.809741728,1.01,0.93,1.1
GABRA4,Model 2,"0.95(0.86,1.04)",0.237762756,0.328103614,0.95,0.86,1.04
GAD1,Model 2,"1.10(0.88,1.37)",0.411634846,0.511043261,1.1,0.88,1.37
GAD2,Model 2,"1.03(0.92,1.16)",0.598422209,0.690123559,1.03,0.92,1.16
GADD45B,Model 2,"0.98(0.87,1.10)",0.67568388,0.757970392,0.98,0.87,1.1
GADD45GIP1,Model 2,"1.26(1.14,1.39)",6.77E-06,2.37E-05,1.26,1.14,1.39
GAGE2A,Model 2,"0.99(0.90,1.08)",0.789538676,0.845659478,0.99,0.9,1.08
GAL,Model 2,"0.83(0.77,0.89)",2.27E-07,9.71E-07,0.83,0.77,0.89
GALNT10,Model 2,"2.24(1.91,2.63)",3.98E-23,4.84E-22,2.24,1.91,2.63
GALNT2,Model 2,"1.37(1.15,1.63)",0.000534512,0.001418885,1.37,1.15,1.63
GALNT3,Model 2,"1.72(1.55,1.90)",1.82E-24,2.37E-23,1.72,1.55,1.9
GALNT5,Model 2,"1.31(1.08,1.58)",0.005346723,0.011782968,1.31,1.08,1.58
GALNT7,Model 2,"1.63(1.30,2.05)",2.96E-05,9.63E-05,1.63,1.3,2.05
GAMT,Model 2,"0.99(0.85,1.16)",0.882908132,0.918778241,0.99,0.85,1.16
GAPDH,Model 2,"1.06(0.89,1.26)",0.53575181,0.632845989,1.06,0.89,1.26
GART,Model 2,"0.86(0.69,1.07)",0.181633959,0.260624648,0.86,0.69,1.07
GAS2,Model 2,"1.01(0.91,1.13)",0.827677138,0.875437654,1.01,0.91,1.13
GAS6,Model 2,"1.69(1.41,2.03)",2.20E-08,1.04E-07,1.69,1.41,2.03
GASK1A,Model 2,"0.91(0.80,1.04)",0.175251854,0.252833703,0.91,0.8,1.04
GAST,Model 2,"1.11(1.07,1.15)",4.15E-08,1.90E-07,1.11,1.07,1.15
GATA3,Model 2,"1.12(0.91,1.39)",0.290139031,0.384671909,1.12,0.91,1.39
GATD3,Model 2,"1.12(1.04,1.20)",0.002657182,0.006277484,1.12,1.04,1.2
